prompt_variant,category,subcategory,difficulty,evaluation_criteria,original_prompt,vision_question,vlm 
p1,Graphical design,Data Visualisation,Easy,Numbers correct + layout logical + readable,"A bar chart showing monthly sales for January through June with values 12K, 18K, 15K, 22K, 19K, 25K — labeled axes, color-coded bars, and a title 'Monthly Sales 2025'","The prompt asked for a data visualization: ""A bar chart showing monthly sales for January through June with values 12K, 18K, 15K, 22K, 19K, 25K — labeled axes, color-coded bars, and a title 'Monthly Sales 2025'"". Are the numbers, labels, and visual elements correct and readable? Does the chart type match what was requested? Rate: PASS or FAIL.",qwen3-vl 
p2,Graphical design,Data Visualisation,Easy,Numbers correct + layout logical + readable,"A pie chart showing market share: Company A 35%, Company B 25%, Company C 20%, Others 20% — each slice a different color with labels and percentages","The prompt asked for a data visualization: ""A pie chart showing market share: Company A 35%, Company B 25%, Company C 20%, Others 20% — each slice a different color with labels and percentages"". Are the numbers, labels, and visual elements correct and readable? Does the chart type match what was requested? Rate: PASS or FAIL.",qwen3-vl 
p3,Graphical design,Data Visualisation,Easy,Numbers correct + layout logical + readable,"A simple line graph showing daily website visitors over one week (Mon-Sun): 1200, 1500, 1100, 1800, 2000, 1700, 1400 — with grid lines, axis labels, and title 'Weekly Traffic'","The prompt asked for a data visualization: ""A simple line graph showing daily website visitors over one week (Mon-Sun): 1200, 1500, 1100, 1800, 2000, 1700, 1400 — with grid lines, axis labels, and title 'Weekly Traffic'"". Are the numbers, labels, and visual elements correct and readable? Does the chart type match what was requested? Rate: PASS or FAIL.",qwen3-vl 
p1,Graphical design,Layout & Design,Easy,Visual hierarchy clear + text readable,"A movie night poster with a large popcorn image in the center, the title 'MOVIE NIGHT' in bold at the top, and the tagline 'Every Friday at 8 PM' at the bottom","The prompt described a specific layout: ""A movie night poster with a large popcorn image in the center, the title 'MOVIE NIGHT' in bold at the top, and the tagline 'Every Friday at 8 PM' at the bottom"". Are all described layout zones/elements present with correct visual hierarchy? Is any text readable and correctly placed? Rate: PASS or FAIL.",qwen3-vl 
p2,Graphical design,Layout & Design,Easy,Visual hierarchy clear + text readable,"An event poster featuring a guitar illustration, the headline 'LIVE MUSIC FEST' in large text, and 'Tickets available now' as a tagline below","The prompt described a specific layout: ""An event poster featuring a guitar illustration, the headline 'LIVE MUSIC FEST' in large text, and 'Tickets available now' as a tagline below"". Are all described layout zones/elements present with correct visual hierarchy? Is any text readable and correctly placed? Rate: PASS or FAIL.",qwen3-vl 
p3,Graphical design,Layout & Design,Easy,Visual hierarchy clear + text readable,"A book club poster with an open book illustration, the title 'JOIN THE BOOK CLUB' prominently displayed, and 'Meets every Wednesday' as the tagline","The prompt described a specific layout: ""A book club poster with an open book illustration, the title 'JOIN THE BOOK CLUB' prominently displayed, and 'Meets every Wednesday' as the tagline"". Are all described layout zones/elements present with correct visual hierarchy? Is any text readable and correctly placed? Rate: PASS or FAIL.",qwen3-vl 
p1,Graphical design,Layout & Design,Hard,Professional-looking layout + all elements present,"A magazine double-page spread with a left page containing a large hero photo, and a right page with a two-column article, a pull quote, a sidebar with author bio, and a page number","The prompt described a specific layout: ""A magazine double-page spread with a left page containing a large hero photo, and a right page with a two-column article, a pull quote, a sidebar with author bio, and a page number"". Are all described layout zones/elements present with correct visual hierarchy? Is any text readable and correctly placed? Rate: PASS or FAIL.",qwen3-vl 
p2,Graphical design,Layout & Design,Hard,Professional-looking layout + all elements present,"A mobile app UI mockup showing a dashboard with a top navigation bar, a search field, a 2x2 grid of feature cards with icons, a list of recent activity items, and a bottom tab bar","The prompt described a specific layout: ""A mobile app UI mockup showing a dashboard with a top navigation bar, a search field, a 2x2 grid of feature cards with icons, a list of recent activity items, and a bottom tab bar"". Are all described layout zones/elements present with correct visual hierarchy? Is any text readable and correctly placed? Rate: PASS or FAIL.",qwen3-vl 
p3,Graphical design,Layout & Design,Hard,Professional-looking layout + all elements present,"A fashion magazine spread with a full-bleed left-page photo, right page with three-column layout, headline, body copy, a smaller inset image, and styled page numbers","The prompt described a specific layout: ""A fashion magazine spread with a full-bleed left-page photo, right page with three-column layout, headline, body copy, a smaller inset image, and styled page numbers"". Are all described layout zones/elements present with correct visual hierarchy? Is any text readable and correctly placed? Rate: PASS or FAIL.",qwen3-vl 
p1,Graphical design,Layout & Design,Medium,Zones visually separated + content in right zones,"A landing page design with a hero header image at the top, a headline and subtitle in the middle, a 'Sign Up' call-to-action button, and a footer with three social media icons","The prompt described a specific layout: ""A landing page design with a hero header image at the top, a headline and subtitle in the middle, a 'Sign Up' call-to-action button, and a footer with three social media icons"". Are all described layout zones/elements present with correct visual hierarchy? Is any text readable and correctly placed? Rate: PASS or FAIL.",qwen3-vl 
